id,r,name,team,price,fvm
1,C,Samardzic,Atalanta,12.0,42.0
153,C,Rodriguez Je.,Como,12.0,32.0
9,D,Stones,Inter,12.0,38.0
10,C,Alajbegovic,Juventus,12.0,56.0
10,C,Conceicao,Juventus,12.0,60.0
12,D,Gila,Milan,12.0,31.0
12,C,Modric,Milan,12.0,50.0
13,D,Di Lorenzo,Napoli,12.0,40.0
15,A,Soulè,Roma,12.0,53.0
138,A,Adams A.,Venezia,12.0,51.0
6,C,Mastantuono,Fiorentina,12.0,58.0
9,D,Spence,Inter,12.0,41.0
2,C,Rowe,Bologna,11.0,37.0
153,A,Diao,Como,11.0,50.0
8,D,Ostigard,Genoa,11.0,40.0
8,C,Baldanzi,Genoa,11.0,30.0
8,A,Colombo,Genoa,11.0,63.0
9,D,Bisseck,Inter,11.0,33.0
13,P,Meret,Napoli,11.0,45.0
13,C,Zambo Anguissa,Napoli,11.0,54.0
107,A,Tourè E.,Parma,11.0,43.0
1,D,Scalvini,Atalanta,10.0,28.0
2,P,Skorupski,Bologna,10.0,37.0
153,D,Ramon,Como,10.0,32.0
153,C,Perrone,Como,10.0,38.0
6,D,Dodò,Fiorentina,10.0,30.0
9,C,Zielinski,Inter,10.0,41.0
10,C,Thuram K.,Juventus,10.0,41.0
11,A,Dia,Lazio,10.0,31.0
11,A,Ratkov,Lazio,10.0,32.0
12,C,Saelemaekers,Milan,10.0,43.0
13,C,Politano,Napoli,10.0,47.0
13,A,Lukaku,Napoli,10.0,45.0
15,D,Hermoso,Roma,10.0,26.0
15,C,Konè M.,Roma,10.0,42.0
17,C,Thorstvedt,Sassuolo,10.0,41.0
17,A,Bowie,Sassuolo,10.0,39.0
18,C,Casadei,Torino,10.0,37.0
19,C,Ekkelenkamp,Udinese,10.0,41.0
15,C,Pellegrini Lo.,Roma,10.0,28.0
107,A,Romero D.,Parma,10.0,38.0
1,C,Pasalic,Atalanta,9.0,32.0
2,C,Bernardeschi,Bologna,9.0,21.0
21,P,Caprile,Cagliari,9.0,27.0
6,C,Mandragora,Fiorentina,9.0,28.0
7,A,Ghedjemis,Frosinone,9.0,30.0
8,D,Vasquez,Genoa,9.0,33.0
10,P,Di Gregorio,Juventus,9.0,40.0
10,D,Cambiaso,Juventus,9.0,27.0
10,A,David,Juventus,9.0,40.0
11,P,Mandas,Lazio,9.0,30.0
11,C,Cancellieri,Lazio,9.0,28.0
11,C,Isaksen,Lazio,9.0,25.0
119,A,Geubbels,Lecce,9.0,25.0
143,A,Cutrone,Monza,9.0,33.0
17,C,Konè I.,Sassuolo,9.0,20.0
18,A,Adams C.,Torino,9.0,32.0
19,P,Okoye,Udinese,9.0,29.0
153,D,Chalobah T.,Como,9.0,26.0
1,D,Hien,Atalanta,8.0,16.0
1,D,Zappacosta,Atalanta,8.0,24.0
2,D,Lucumì,Bologna,8.0,18.0
2,D,Miranda J.,Bologna,8.0,24.0
2,C,Odgaard,Bologna,8.0,22.0
2,C,Cambiaghi,Bologna,8.0,25.0
2,A,Dallinga,Bologna,8.0,10.0
21,D,Mina,Cagliari,8.0,20.0
6,D,Dragusin,Fiorentina,8.0,27.0
6,D,Jimenez A.,Fiorentina,8.0,23.0
6,C,Fagioli,Fiorentina,8.0,23.0
6,C,Ndour,Fiorentina,8.0,25.0
2,A,Piccoli,Bologna,8.0,31.0
8,P,Bijlow,Genoa,8.0,18.0
8,D,Norton-Cuffy,Genoa,8.0,22.0
8,A,Vitinha O.,Genoa,8.0,20.0
9,C,Diouf,Inter,8.0,37.0
9,C,Sucic P.,Inter,8.0,26.0
10,D,Celik,Juventus,8.0,13.0
10,C,Locatelli,Juventus,8.0,32.0
119,P,Falcone,Lecce,8.0,25.0
12,D,Bartesaghi,Milan,8.0,25.0
143,C,Colpani,Monza,8.0,25.0
13,D,Gutierrez,Napoli,8.0,26.0
13,D,Spinazzola,Napoli,8.0,24.0
13,C,Vergara,Napoli,8.0,34.0
107,D,Delprato,Parma,8.0,21.0
107,D,Valeri,Parma,8.0,24.0
15,D,Koulierakis,Roma,8.0,20.0
15,C,Cristante,Roma,8.0,29.0
19,D,Vojvoda,Udinese,8.0,19.0
138,A,Yeboah J.,Venezia,8.0,28.0
138,A,Rrahmani Al.,Venezia,8.0,20.0
153,D,Couto,Como,8.0,27.0
7,C,Schmid,Frosinone,8.0,30.0
1,D,Djimsiti,Atalanta,7.0,16.0
1,C,Gaetano,Atalanta,7.0,24.0
2,C,Ferguson,Bologna,7.0,18.0
21,D,Obert,Cagliari,7.0,14.0
21,C,Fazzini,Cagliari,7.0,19.0
153,D,Kaiki,Como,7.0,23.0
7,C,Calò,Frosinone,7.0,25.0
7,A,Raimondo,Frosinone,7.0,24.0
8,C,Frendrup,Genoa,7.0,19.0
9,D,Carlos Augusto,Inter,7.0,27.0
11,C,Frattesi,Lazio,7.0,55.0
9,A,Bonny,Inter,7.0,21.0
11,D,Doekhi,Lazio,7.0,22.0
11,D,Romagnoli,Lazio,7.0,24.0
119,D,Tiago Gabriel,Lecce,7.0,17.0
119,A,Stulic,Lecce,7.0,18.0
12,D,Gabbia,Milan,7.0,25.0
12,D,Tomori,Milan,7.0,11.0
143,C,Pessina,Monza,7.0,15.0
13,D,Buongiorno,Napoli,7.0,15.0
13,C,Lobotka,Napoli,7.0,20.0
107,P,Daffara,Parma,7.0,5.0
107,P,Suzuki,Parma,7.0,20.0
107,C,Bernabè,Parma,7.0,36.0
17,P,Muric,Sassuolo,7.0,15.0
17,D,Idzes,Sassuolo,7.0,19.0
17,C,Volpato,Sassuolo,7.0,23.0
18,D,Coco,Torino,7.0,18.0
18,D,Ismajli,Torino,7.0,18.0
18,C,Oristanio,Torino,7.0,27.0
18,A,Zapata D.,Torino,7.0,18.0
1,D,Kristensen T.,Atalanta,7.0,20.0
19,C,Unai Gomez,Udinese,7.0,23.0
8,C,Sow,Genoa,7.0,14.0
1,D,Ahanor,Atalanta,6.0,16.0
1,D,Bellanova,Atalanta,6.0,15.0
1,D,Bernasconi,Atalanta,6.0,17.0
1,C,Zalewski,Atalanta,6.0,21.0
1,A,Sulemana K.,Atalanta,6.0,16.0
2,D,Heggem,Bologna,6.0,15.0
2,D,Zortea,Bologna,6.0,19.0
2,C,Pobega,Bologna,6.0,14.0
21,C,Adopo,Cagliari,6.0,13.0
21,C,Winks,Cagliari,6.0,14.0
21,A,Mutandwa,Cagliari,6.0,15.0
153,D,Valle,Como,6.0,18.0
153,C,Caqueret,Como,6.0,20.0
153,C,Liberali,Como,6.0,22.0
6,D,Valdepenas,Fiorentina,6.0,18.0
6,D,Viery,Fiorentina,6.0,19.0
6,C,Oulai,Fiorentina,6.0,20.0
7,D,Monterisi,Frosinone,6.0,14.0
8,D,Marcandalli,Genoa,6.0,13.0
8,C,Ellertsson,Genoa,6.0,18.0
9,D,Pavard,Inter,6.0,18.0
10,P,Perin,Juventus,6.0,10.0
10,C,Zhegrova,Juventus,6.0,18.0
10,A,Boga,Juventus,6.0,25.0
11,D,Tavares N.,Lazio,6.0,17.0
11,D,Marusic,Lazio,6.0,20.0
11,C,Rovella,Lazio,6.0,16.0
11,A,Noslin,Lazio,6.0,17.0
119,D,Gallo,Lecce,6.0,13.0
119,C,Coulibaly L.,Lecce,6.0,14.0
119,C,Pierotti,Lecce,6.0,19.0
12,C,Chukwueze,Milan,6.0,11.0
12,A,Gimenez,Milan,6.0,14.0
143,D,Mangas,Monza,6.0,15.0
143,C,Akinsanmiro,Monza,6.0,16.0
13,D,Beukema,Napoli,6.0,13.0
13,A,Neres,Napoli,6.0,22.0
107,D,Circati,Parma,6.0,18.0
107,C,Nicolussi Caviglia,Parma,6.0,18.0
18,D,Comuzzo,Torino,6.0,11.0
19,D,Kamara H.,Udinese,6.0,12.0
19,C,Karlstrom,Udinese,6.0,20.0
138,P,Stankovic F.,Venezia,6.0,14.0
138,D,Bella-Kotchap,Venezia,6.0,13.0
138,C,Basic,Venezia,6.0,19.0
17,D,Obrador,Sassuolo,6.0,15.0
1,D,Kolasinac,Atalanta,5.0,12.0
21,A,Maldini,Cagliari,5.0,22.0
2,D,Vitik,Bologna,5.0,11.0
2,D,Holm,Bologna,5.0,13.0
2,C,Amondarain,Bologna,5.0,12.0
21,D,Kofler,Cagliari,5.0,11.0
21,D,Zè Pedro,Cagliari,5.0,11.0
21,C,Romano,Cagliari,5.0,12.0
21,C,Felici,Cagliari,5.0,10.0
153,D,Kempf,Como,5.0,13.0
153,C,Milla,Como,5.0,14.0
153,C,Addai,Como,5.0,10.0
6,D,Parisi,Fiorentina,5.0,12.0
7,D,Bracaglia,Frosinone,5.0,11.0
7,D,Oyono A.,Frosinone,5.0,12.0
7,C,Zerbin,Frosinone,5.0,13.0
8,D,Martin,Genoa,5.0,15.0
8,C,Meichtry,Genoa,5.0,14.0
8,C,Traorè Hj.,Genoa,5.0,11.0
9,C,Mkhitaryan,Inter,5.0,19.0
10,D,Kelly L.,Juventus,5.0,10.0
10,C,Koopmeiners,Juventus,5.0,14.0
11,D,Pedraza,Lazio,5.0,15.0
11,C,Dele-Bashiru,Lazio,5.0,13.0
119,D,Gaspar K.,Lecce,5.0,12.0
119,D,Veiga D.,Lecce,5.0,11.0
119,C,Berisha M.,Lecce,5.0,16.0
119,C,Gandelman,Lecce,5.0,14.0
12,C,Fofana Y.,Milan,5.0,23.0
12,A,Camarda,Milan,5.0,20.0
143,P,Thiam,Monza,5.0,12.0
143,A,Mota,Monza,5.0,18.0
13,P,Milinkovic-Savic V.,Napoli,5.0,10.0
13,D,Olivera,Napoli,5.0,13.0
107,C,Keita M.,Parma,5.0,15.0
107,C,Ondrejka,Parma,5.0,18.0
107,A,Frigan,Parma,5.0,13.0
15,D,Rensch,Roma,5.0,16.0
15,C,Pisilli,Roma,5.0,17.0
17,C,Matic,Sassuolo,5.0,15.0
17,C,Adzic,Sassuolo,5.0,16.0
17,C,Bakola,Sassuolo,5.0,14.0
18,D,Pedersen,Torino,5.0,13.0
18,C,Cacciamani,Torino,5.0,18.0
18,C,Gineitis,Torino,5.0,13.0
19,C,Piotrowski,Udinese,5.0,15.0
138,D,Moreno M.,Venezia,5.0,11.0
138,D,Haps,Venezia,5.0,11.0
138,C,Busio,Venezia,5.0,14.0
138,C,Sohm,Venezia,5.0,14.0
138,C,Perez K.,Venezia,5.0,14.0
138,A,Adorante,Venezia,5.0,14.0
7,C,Grillitsch,Frosinone,5.0,14.0
1,C,De Roon,Atalanta,4.0,12.0
2,C,Moro N.,Bologna,4.0,10.0
21,D,Zappa,Cagliari,4.0,9.0
21,C,Prati,Cagliari,4.0,7.0
21,A,Borrelli,Cagliari,4.0,9.0
21,A,Mendy P.,Cagliari,4.0,9.0
153,D,Smolcic I.,Como,4.0,10.0
153,A,Morata,Como,4.0,10.0
6,D,Pongracic,Fiorentina,4.0,8.0
6,C,Fabbian,Fiorentina,4.0,8.0
7,P,Palmisani,Frosinone,4.0,8.0
7,D,Calvani,Frosinone,4.0,10.0
7,C,Cichella,Frosinone,4.0,11.0
7,C,Koutsoupias,Frosinone,4.0,12.0
7,A,Kvernadze,Frosinone,4.0,15.0
8,D,Mitaj,Genoa,4.0,9.0
8,C,Amorim,Genoa,4.0,11.0
8,A,Havel,Genoa,4.0,9.0
9,C,Luis Henrique,Inter,4.0,13.0
10,D,Gatti,Juventus,4.0,10.0
10,C,Douglas Luiz,Juventus,4.0,12.0
11,C,Cataldi,Lazio,4.0,12.0
119,D,Siebert,Lecce,4.0,12.0
119,C,Ngom,Lecce,4.0,11.0
12,C,Ricci S.,Milan,4.0,11.0
12,C,Jashari,Milan,4.0,11.0
12,C,Loftus-Cheek,Milan,4.0,11.0
143,D,Delli Carri,Monza,4.0,11.0
143,D,Lucchesi,Monza,4.0,12.0
143,D,Birindelli,Monza,4.0,12.0
13,C,Folorunsho,Napoli,4.0,10.0
13,A,Giovane,Napoli,4.0,10.0
107,D,Valenti,Parma,4.0,10.0
107,C,Almqvist,Parma,4.0,14.0
15,D,Ghilardi,Roma,4.0,10.0
15,C,El Aynaoui,Roma,4.0,18.0
17,D,Walukiewicz,Sassuolo,4.0,10.0
17,D,Doig,Sassuolo,4.0,10.0
18,D,Comert,Torino,4.0,10.0
18,C,Fitz-Jim,Torino,4.0,13.0
18,C,Ilkhan,Torino,4.0,10.0
18,C,Njie,Torino,4.0,12.0
18,A,Kulenovic,Torino,4.0,9.0
19,D,Kabasele,Udinese,4.0,9.0
19,D,Bertola,Udinese,4.0,10.0
19,D,Zanoli,Udinese,4.0,10.0
19,D,Arizala,Udinese,4.0,8.0
19,A,Gueye,Udinese,4.0,7.0
138,D,Halhal,Venezia,4.0,10.0
138,D,Correia T.,Venezia,4.0,12.0
143,A,Robinson J.,Monza,4.0,10.0
7,D,Terzic,Frosinone,4.0,11.0
1,D,Kossounou,Atalanta,3.0,7.0
1,C,Sulemana I.,Atalanta,3.0,7.0
2,D,Casale,Bologna,3.0,6.0
17,C,Dominguez B.,Sassuolo,3.0,12.0
21,D,Rodriguez Ju.,Cagliari,3.0,10.0
21,D,Idrissi R.,Cagliari,3.0,7.0
21,C,Deiola,Cagliari,3.0,8.0
153,A,Kuhn,Como,3.0,5.0
6,D,Ranieri L.,Fiorentina,3.0,7.0
6,D,Joao Mario,Fiorentina,3.0,7.0
6,C,Brescianini,Fiorentina,3.0,7.0
7,D,Akpoguma,Frosinone,3.0,7.0
7,D,Cittadini,Frosinone,3.0,8.0
7,C,Gelli F.,Frosinone,3.0,8.0
7,C,Fini,Frosinone,3.0,9.0
8,C,Messias,Genoa,3.0,8.0
9,C,Stankovic A.,Inter,3.0,10.0
10,C,Miretti,Juventus,3.0,11.0
10,A,Ekhator,Juventus,3.0,10.0
11,D,Provstgaard,Lazio,3.0,10.0
11,D,Floriani Mussolini,Lazio,3.0,12.0
119,A,N'Dri,Lecce,3.0,9.0
12,D,De Winter,Milan,3.0,12.0
12,D,Athekame,Milan,3.0,8.0
12,D,Estupinan,Milan,3.0,9.0
143,D,Kouadio,Monza,3.0,9.0
143,D,Carboni A.,Monza,3.0,9.0
143,C,Colombo L.,Monza,3.0,7.0
143,A,Varela G.,Monza,3.0,7.0
13,C,Gilmour,Napoli,3.0,9.0
13,A,Lang,Napoli,3.0,10.0
13,A,Lucca,Napoli,3.0,10.0
107,D,Troilo,Parma,3.0,8.0
107,D,Britschgi,Parma,3.0,10.0
107,C,Sorensen O.,Parma,3.0,12.0
107,C,Diallo O.,Parma,3.0,12.0
107,A,Elphege,Parma,3.0,11.0
15,D,Angelino,Roma,3.0,12.0
17,D,Candè,Sassuolo,3.0,12.0
18,C,Aboukhlal,Torino,3.0,5.0
19,C,Miller L.,Udinese,3.0,12.0
138,D,Schingtienne,Venezia,3.0,7.0
138,D,Sverko,Venezia,3.0,7.0
138,D,Hainaut,Venezia,3.0,7.0
138,C,Helgason,Venezia,3.0,7.0
2,D,Helland,Bologna,2.0,5.0
2,D,Alhassane,Bologna,2.0,6.0
2,C,El Azzouzi O.,Bologna,2.0,4.0
153,D,Van Der Brempt,Como,2.0,5.0
153,C,Fadera,Como,2.0,3.0
7,P,Desplanches,Frosinone,2.0,8.0
7,C,Hasa,Frosinone,2.0,5.0
8,D,Otoa,Genoa,2.0,5.0
8,D,Puczka,Genoa,2.0,7.0
8,D,Sabelli,Genoa,2.0,5.0
7,C,Masini,Frosinone,2.0,4.0
8,C,Venturino,Genoa,2.0,6.0
9,P,Provedel,Inter,2.0,5.0
11,D,Lazzari,Lazio,2.0,8.0
11,D,Pellegrini Lu.,Lazio,2.0,5.0
119,D,Jean,Lecce,2.0,4.0
119,C,Maleh,Lecce,2.0,5.0
12,D,Diawara S.,Milan,2.0,4.0
12,C,Musah,Milan,2.0,6.0
143,C,Ciurria,Monza,2.0,6.0
143,A,Petagna,Monza,2.0,5.0
13,D,Marin R.,Napoli,2.0,6.0
107,C,Ordonez C.,Parma,2.0,5.0
17,C,Boloca,Sassuolo,2.0,5.0
17,C,Lipani,Sassuolo,2.0,5.0
18,D,Biraghi,Torino,2.0,5.0
19,D,Palma,Udinese,2.0,5.0
19,D,Ebosse,Udinese,2.0,4.0
19,C,Chakvetadze,Udinese,2.0,6.0
19,A,Buksa,Udinese,2.0,4.0
138,D,Franjic,Venezia,2.0,4.0
138,D,Sagrado,Venezia,2.0,4.0
138,C,Duncan,Venezia,2.0,4.0
21,D,Aurelio,Cagliari,2.0,5.0
1,P,Rossi F.,Atalanta,1.0,1.0
1,P,Sportiello,Atalanta,1.0,1.0
2,P,Happonen,Bologna,1.0,1.0
2,P,Pessina Mas.,Bologna,1.0,1.0
2,D,De Silvestri,Bologna,1.0,4.0
21,P,Ciocci,Cagliari,1.0,1.0
21,P,Sherri,Cagliari,1.0,1.0
21,D,Raterink,Cagliari,1.0,1.0
21,C,Liteta,Cagliari,1.0,1.0
21,A,Albarracin,Cagliari,1.0,1.0
21,A,Trepy,Cagliari,1.0,2.0
153,P,Tornqvist,Como,1.0,1.0
153,P,Vigorito,Como,1.0,1.0
153,D,Goldaniga,Como,1.0,1.0
153,D,Cuenca A.,Como,1.0,8.0
153,C,Lahdo,Como,1.0,1.0
153,A,Azon,Como,1.0,1.0
6,P,Christensen O.,Fiorentina,1.0,1.0
6,P,Lezzerini,Fiorentina,1.0,1.0
7,P,Lolic,Frosinone,1.0,1.0
7,D,Amey,Frosinone,1.0,1.0
7,D,Gelli J.,Frosinone,1.0,1.0
7,D,Oyono J.,Frosinone,1.0,3.0
7,D,Corrado,Frosinone,1.0,3.0
7,C,El Azzouzi A.,Frosinone,1.0,3.0
7,C,Kone B.,Frosinone,1.0,3.0
8,P,Sommariva,Genoa,1.0,1.0
8,P,Stolz,Genoa,1.0,1.0
8,D,Vogliacco,Genoa,1.0,2.0
8,D,Matturro,Genoa,1.0,2.0
9,P,Di Gennaro,Inter,1.0,1.0
10,P,Pinsoglio,Juventus,1.0,1.0
10,D,Rugani,Juventus,1.0,3.0
10,D,Cabal,Juventus,1.0,4.0
11,P,Motta,Lazio,1.0,1.0
11,P,Renzetti,Lazio,1.0,1.0
11,D,Patric,Lazio,1.0,4.0
11,C,Belahyane,Lazio,1.0,5.0
11,C,Przyborek,Lazio,1.0,5.0
119,P,Fruchtl,Lecce,1.0,1.0
119,P,Samooja,Lecce,1.0,1.0
119,D,Perez M.,Lecce,1.0,1.0
119,D,Ndaba,Lecce,1.0,4.0
119,C,Gorter,Lecce,1.0,3.0
119,C,Kaba,Lecce,1.0,2.0
119,C,Fofana Sa.,Lecce,1.0,1.0
12,P,Terracciano,Milan,1.0,1.0
12,P,Torriani,Milan,1.0,1.0
143,P,Pizzignacco,Monza,1.0,1.0
143,P,Strajnar,Monza,1.0,1.0
143,D,Antov,Monza,1.0,2.0
143,D,Bakoune,Monza,1.0,4.0
13,P,Contini,Napoli,1.0,1.0
13,D,Marianucci,Napoli,1.0,3.0
13,D,Mazzocchi,Napoli,1.0,3.0
107,P,Corvi,Parma,1.0,1.0
107,D,Ndiaye,Parma,1.0,4.0
107,D,Carboni F.,Parma,1.0,3.0
107,C,Cremaschi,Parma,1.0,3.0
15,P,De Marzi,Roma,1.0,1.0
15,P,Gollini,Roma,1.0,1.0
15,D,Ziolkowski,Roma,1.0,2.0
15,A,Vaz,Roma,1.0,4.0
17,P,Russo A.,Sassuolo,1.0,1.0
17,P,Turati,Sassuolo,1.0,3.0
17,D,Missori,Sassuolo,1.0,2.0
17,D,Pieragnolo,Sassuolo,1.0,1.0
17,C,Iannoni,Sassuolo,1.0,1.0
17,A,Moro L.,Sassuolo,1.0,1.0
18,P,Mascardi,Torino,1.0,1.0
18,P,Paleari,Torino,1.0,1.0
18,P,Siviero,Torino,1.0,1.0
18,C,Ilic,Torino,1.0,4.0
18,C,Anjorin,Torino,1.0,4.0
19,P,Padelli,Udinese,1.0,1.0
19,P,Piana,Udinese,1.0,1.0
19,D,Mlacic,Udinese,1.0,3.0
19,D,Abankwah,Udinese,1.0,3.0
19,C,Camara A.,Udinese,1.0,3.0
19,C,Zarraga,Udinese,1.0,4.0
19,A,Bayo V.,Udinese,1.0,3.0
138,P,Grandi,Venezia,1.0,1.0
138,P,Pozzi,Venezia,1.0,1.0
138,D,Gomes,Venezia,1.0,1.0
138,C,Bjarkason,Venezia,1.0,3.0
138,C,Dagasso,Venezia,1.0,1.0
138,A,Lisman,Venezia,1.0,1.0
138,A,Lauberbach,Venezia,1.0,1.0
1,P,Vismara,Atalanta,1.0,1.0
17,P,Satalino,Sassuolo,1.0,1.0
119,P,Penev,Lecce,1.0,1.0
7,P,Pisseri,Frosinone,1.0,1.0
21,P,Radunovic,Cagliari,1.0,1.0
